reviewcontent,reviewtype,topcritic,rottentomatoeslink,movietitle,movieinfo,genres,productioncompany
John Goodman brings his A-game to the part of the tightrope-walking Howard who is at times kind and gentle and at others unhinged and cuckoo. Mary Elizabeth Winstead matches him note for note.,Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
A sensationally effective semi-sequel that bears virtually no narrative or stylistic resemblance to its predecessor ...,Fresh,True,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
"Among all possible disappointments at the end, it shows that you can still renew genres from Hollywood productions, and humble budgets can surprise the audience accustomed to winning formulas that repeat the rhythm of the trends. [Full review in Spanish]",Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
"At one point, this movie had me so on edge that I had a fleeting impulse to run out of the theater. It might be weird to say that and mean it as a compliment, but good thrillers work that way sometimes.",Fresh,True,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
"It may not leave you screaming for a sequel, but it won't leave you screaming for your money back either.",Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
"There's a fine, nerve-jangling little psychological thriller here. Pity it couldn't have been allowed to just be that.",Fresh,True,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
"I was on the edge of my seat and then I was on the very edge of my seat, and then I fell off my seat and discovered a ledge beyond the edge and I was on the edge of that.",Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
It's a pity that such an unexpectedly effective thriller is so profoundly undone by a tonally disparate denouement.,Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
10 Cloverfield Lane is an intense ride that constantly throws you for a loop the minute you start to feel like you know what is going on.,Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
"After years spent quietly establishing himself as one of film and TV's go-to character actors, it's fantastic to see [Goodman] receive a big-screen role that truly capitalizes on his outsized talents.",Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
"""""""10 Cloverfield Lane"""" is as economical as a stage play but packs in plenty of visceral violence and visual surprises. Whether you've seen the first film or not",Fresh,True,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
"Winstead is the glue that holds it all together, but it's Goodman who, as Howard, really runs the show.",Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
"This is rock-solid entertainment, a film meant to keep you guessing and jumping for 100 minutes before it throws you back into the world to argue about its ending.",Fresh,True,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
"If 10 Cloverfield Lane is to be considered a sequel, it's one that's even better than the original.",Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
"By the time Trachtenberg's remarkably assured direction draws a clear line between the sequel and its predecessor, all contributors have ensured audience involvement is peaking.",Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
"An unexpected blend of apocalyptic science-fiction and serial killer styles, it is, for once, completely impossible to guess how the story will resolve.",Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
"Trachtenberg ratchets up the tension with ease, and even small things are filled with a stomach-turning dread that keeps the film chugging along until its explosive last act.",Fresh,True,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
"It's a decent piece of low-budget film-making that shows what you can do with artfully built tension, skilful editing and a handful of shocking moments. Buckle up, because the first one comes early on.",Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
"In a promising debut, director Dan Trachtenberg abandons not only the original's structure, but also its genre. [Full review in Portuguese.]",Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
"Tamp down those expectations, then tamp them down some more.",Fresh,True,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
[An] exercise that revels in thwarting expectations and turning knuckles white.,Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
A bracing blast of old-fashioned thrifty craftsmanship.,Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
"A wonderful and welcome surprise, a visit to 10 Cloverfield Lane is highly recommended.",Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
A superior film that it's predecessor that will leave the audience pleased. [Full review in Spanish],Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
It's a small film crafted beautifully to create a claustrophobic nightmare that can stand alone as a quality thriller or as a companion piece for those looking to make a Cloverfield connection.,Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
"It's all very exhilarating and, at times, it's one of the scariest movies I've seen in a long time.",Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
"A bit formulaic, but oh so scary. Then there's John Goodman!",Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
a whole lot of nail-biting fun.,Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
Reinvigorating the horror genre with a slick deconstruction that parses the subtleties of the patriarchy and the perils of the nuclear family,Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
"It works best whenever Goodman swaggers into frame, a slack-jawed psycho with a cuddly side.",Fresh,True,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
This serves as a good reminder that just because a movie can go in a certain direction doesn't necessarily mean it should.,Rotten,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
"A terrific, compact thriller.",Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
"A crackerjack exercise not just in genre but genres, with exacting direction, three great performances and a genuine respect for audience patience, intelligence and willingness to be go with a story that drags you hither and thither.",Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
"This is all you need to know: when that mystery box is finally opened, you'll be more than satisfied.",Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
"Make no mistake: while this three-hander cannot possibly pass the Bechdel test, it is nonetheless driven by real feminist concerns, as Michelle has an awakening in the prisonhouse of patriarchy.",Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
One of the most entertaining genre movies I've seen since Cabin in the Woods.,Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
"It is best not to know where 10 Cloverfield Lane will take you. Revel in the competence of its craft and the playfulness of its performances. And revel in not knowing, for once.",Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
"Character-driven, tension-filled tale of psychological terror....",Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
Forget all about Cloverfield and just soak in the immense claustrophobia and paranoia that's so unrelenting you'll have to dig your nails out of the theater's armrests.,Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
"The title of 10 Cloverfield Lane is a bait-and-switch game, but for the best possible reasons -- because it so perfectly sets you up for one type of thriller that you won't be ready for the real terror as it unfolds.",Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
