,movieinfo_rottentomatoeslink_movietitle,reviewtype,topcritic,productioncompany,genres,reviewcontent,manual_labels
12104,"movieinfo: Tells the story of Rainbow Randolph (Robin Williams), the corrupt, costumed star of a popular children's TV show, who is fired over a bribery scandal and replaced by squeaky-clean Smoochy (Edward Norton), a puffy fuscia rhinoceros. As Smoochy catapults to fame - scoring hit ratings and the affections of a network executive (Catherine Keener) - Randolph makes the unsuspecting rhino the target of his numerous outrageous attempts to exact revenge and reclaim his status as America's sweetheart.rottentomatoeslink: m/death_to_smoochymovietitle: Death to Smoochy",productioncompany: Warner Bros. Pictures,reviewtype: Fresh,genres: Comedy,topcritic: True,"reviewcontent: Death to Smoochy is often very funny, but what's even more remarkable is the integrity of DeVito's misanthropic vision.",NO
8836,"movieinfo: In 480 B.C. a state of war exists between Persia, led by King Xerxes (Rodrigo Santoro), and Greece. At the Battle of Thermopylae, Leonidas (Gerard Butler), king of the Greek city state of Sparta, leads his badly outnumbered warriors against the massive Persian army. Though certain death awaits the Spartans, their sacrifice inspires all of Greece to unite against their common enemy.rottentomatoeslink: m/300movietitle: 300",productioncompany: Warner Bros. Pictures,reviewtype: Fresh,topcritic: False,"genres: Action & Adventure, Drama","reviewcontent: If you're looking to see the rich, deep imagery of 300 play out in the most beautiful, bone-crunching way possible, this 4K offering is absolutely a must-have.",NO
6322,"movieinfo: Dave Buznik (Adam Sandler) is usually a mild-mannered nonconfrontational guy. But after an altercation aboard an airplane, he is remanded to the care of an anger-management therapist, Dr. Buddy Rydell (Jack Nicholson), who could probably use a little anger management himself.rottentomatoeslink: m/1121649-anger_managementmovietitle: Anger Management",productioncompany: Sony Pictures Entertainment,reviewtype: Fresh,topcritic: False,genres: Comedy,"reviewcontent: While nothing special, let alone classic, the film offers enough amusing, funny and occasionally hilarious moments and performances to earn a passing grade.",NO
597,"movieinfo: ""Nicolas Cage is Charlie Kaufman, a confused L.A. screenwriter overwhelmed by feelings of inadequacy, sexual frustration, self-loathing, and by the screenwriting ambitions of his freeloading twin brother Donald (Nicolas Cage). While struggling to adapt """"The Orchid Thiefrottentomatoeslink: m/1118700-adaptationmovietitle: Adaptation",productioncompany: Columbia Pictures,"genres: Comedy, Drama",reviewtype: Fresh,topcritic: True,"reviewcontent: Cage gives one of the best performances of his recent career as the Kaufmans. He's a natural in this role, especially when that great horse face breaks into an ingratiating grin...",NO
4791,"movieinfo: Art patron Hibbing Goodhue (Michael York) is murdered, and an accident-prone concert violinist, Ryan Harrison (Leslie Nielsen), is arrested as the main suspect. Harrison didn't do it, but he's convicted of the crime. He's on the bus that will take him to prison, but he manages to escape after a traffic accident. On the run, Harrison tries to clear his name by seeking out the real killer, while the police, led by Lt. Fergus Falls (Richard Crenna), hunt him down.rottentomatoeslink: m/wrongfully_accusedmovietitle: Wrongfully Accused",productioncompany: Warner Bros. Pictures,genres: Comedy,reviewtype: Rotten,topcritic: False,reviewcontent: The epitaph of the modern spoof.,NO
2877,"movieinfo: A young girl when she first visited magical Underland, Alice Kingsleigh (Mia Wasikowska) is now a teenager with no memory of the place -- except in her dreams. Her life takes a turn for the unexpected when, at a garden party for her fiance and herself, she spots a certain white rabbit and tumbles down a hole after him. Reunited with her friends the Mad Hatter (Johnny Depp), the Cheshire Cat and others, Alice learns it is her destiny to end the Red Queen's (Helena Bonham Carter) reign of terror.rottentomatoeslink: m/1221547-alice_in_wonderlandmovietitle: Alice in Wonderland","genres: Animation, Classics, Comedy, Kids & Family, Science Fiction & Fantasy",productioncompany: Film Chest,reviewtype: Rotten,topcritic: False,reviewcontent: Tim Burton's latest assault on the senses is partially redeemed by Johnny Depp's brilliant acting.,YES
4494,"movieinfo: An Austrian teenager (Kirsten Dunst) marries the Dauphin (Jason Schwartzman) of France and becomes that country's queen following the death of King Louis XV (Judy Davis) in 1774. Years later, after a life of luxury and privilege, Marie Antoinette loses her head during the French Revolution.rottentomatoeslink: m/1158195-marie_antoinettemovietitle: Marie Antoinette",productioncompany: Sony Pictures,"genres: Documentary, Drama",reviewtype: Rotten,topcritic: False,reviewcontent: Coppola's disconnected her character from history to achieve this glittering surface and there's nothing else to which a viewer can hang on.,NO
9675,"movieinfo: It's the Roaring `20s and Prohibition hasn't stopped the flow of booze in an underground network of gangster-run speakeasies. The opportunity to gain power and money is there for any man with enough ambition and nerve, and Joe Coughlin, the son of the Boston Police superintendent, long ago turned his back on his strict upbringing for the spoils of being an outlaw. But even among criminals there are rules, and Joe breaks a big one: crossing a powerful mob boss by stealing his money and his moll.rottentomatoeslink: m/live_by_nightmovietitle: Live By Night",productioncompany: Warner Bros. Pictures,genres: Drama,reviewtype: Rotten,topcritic: False,"reviewcontent: Affleck the director tries his best to infuse a glamorous Latin lushness into his frames and, for the most part, the atmospherics work, but sultriness is a poor substitute for dramatic tension.",NO
847,"movieinfo: ""Using his love for comics as inspiration, teenager Dave Lizewski (Aaron Johnson) decides to reinvent himself as a superhero -- despite a complete lack of special powers. Dave dons a costume, dubs himself """"Kick-Assrottentomatoeslink: m/1217700-kick_assmovietitle: Kick-Ass",productioncompany: Lionsgate,"genres: Action & Adventure, Comedy, Drama",reviewtype: Rotten,topcritic: False,"reviewcontent: ""What should have come across as a darkly funny riff on the likes of """"Watchmen"""" winds up coming across like """"Hero at Large"""" with a significantly higher body count.""",NO
11176,"movieinfo: Outlaw Ben Wade (Russell Crowe) terrorizes 1800s Arizona, especially the Southern Railroad, until he is finally captured. Wade must be brought to trial, so Dan Evans (Christian Bale), the owner of a drought-stricken ranch, volunteers to escort him to the train. Along the trail, a grudging respect forms between the men, but danger looms at every turn, and the criminal's men are in pursuit.rottentomatoeslink: m/310_to_yumamovietitle: 3:10 to Yuma",productioncompany: Columbia Pictures,reviewtype: Fresh,topcritic: True,"genres: Classics, Drama, Western","reviewcontent: It remains, underneath all the decoration and heavy artillery, a good yarn.",NO
4723,"movieinfo: An ambitious executive at a record company, Aaron Green (Jonah Hill) gets what looks like an easy assignment: He must escort British rock legend Aldous Snow (Russell Brand) to L.A.'s Greek Theatre for the first stop on a lucrative comeback-concert tour. Snow, however, has different plans. Learning his true love is in California, the rocker vows to win her back before starting the tour, forcing Aaron to pull out all the stops to get Snow on stage in time.rottentomatoeslink: m/1212410-get_him_to_the_greekmovietitle: Get Him to the Greek",productioncompany: Universal Pictures,genres: Comedy,reviewtype: Rotten,topcritic: False,"reviewcontent: Brand takes center stage as the fatuously cocksure singer, but the episodic screenplay strains to give the British comic enough juicy moments to be amusingly inappropriate.",NO
6852,"movieinfo: During World War I, two British soldiers -- Lance Cpl. Schofield and Lance Cpl. Blake -- receive seemingly impossible orders. In a race against time, they must cross over into enemy territory to deliver a message that could potentially save 1,600 of their fellow comrades -- including Blake's own brother.rottentomatoeslink: m/1917_2019movietitle: 1917",productioncompany: Universal Pictures,genres: Drama,reviewtype: Fresh,topcritic: False,"reviewcontent: Both epically sprawling and remarkably intimate, 1917 instantly establishes itself as one of the great war films.",NO
10078,"movieinfo: Long-buried missives from the island reveal the stories of the Japanese troops who fought and died there during World War II. Among them are Saigo (Kazunari Ninomiya), a baker; Baron Nishi (Tsuyoshi Ihara), an Olympic champion; and Shimizu (Ryô Kase), an idealistic soldier. Though Lt. Gen. Tadamichi Kuribayashi (Ken Watanabe) knows he and his men have virtually no chance of survival, he uses his extraordinary military skills to hold off American troops as long as possible.rottentomatoeslink: m/letters_from_iwo_jimamovietitle: Letters from Iwo Jima",productioncompany: Warner Bros. Pictures,reviewtype: Fresh,topcritic: True,genres: Drama,reviewcontent: This movie manages with great economy to show that soldiers on both sides had far more in common than they thought.,NO
3294,"movieinfo: After 12 years of bucolic bliss, Mr. Fox (George Clooney) breaks a promise to his wife (Meryl Streep) and raids the farms of their human neighbors, Boggis, Bunce and Bean. Giving in to his animal instincts endangers not only his marriage but also the lives of his family and their animal friends. When the farmers force Mr. Fox and company deep underground, he has to resort to his natural craftiness to rise above the opposition.rottentomatoeslink: m/1197696-fantastic_mr_foxmovietitle: Fantastic Mr. Fox","genres: Action & Adventure, Animation, Comedy, Kids & Family",productioncompany: 20th Century Fox,reviewtype: Fresh,topcritic: False,"reviewcontent: There are legions who will be as tickled by this movie as Wes Anderson himself, who must be in awe of how close this meticulously constructed fantasy comes to the original vision in his head.",YES
9089,"movieinfo: In the late 1980s, Anthony Swofford (Jake Gyllenhaal) enlists as a Marine, training in boot camp under a sadistic drill instructor. Swofford undertakes a sniper course headed by Staff Sgt. Sykes (Jamie Foxx) during this time, which is shortly before the advent of the Gulf War. When the United States becomes involved, Swofford is shipped out, along with his spotter, Alan Troy (Peter Sarsgaard). Facing uncertainty each day -- about the war and home -- the soldiers try to maintain composure.rottentomatoeslink: m/1152567-jarheadmovietitle: Jarhead",productioncompany: Universal Pictures,genres: Drama,reviewtype: Fresh,topcritic: False,reviewcontent: Some criticize Jarhead for ambivalence and ambiguity. But that's what Swofford's experience was about.,NO
2872,"movieinfo: A young girl when she first visited magical Underland, Alice Kingsleigh (Mia Wasikowska) is now a teenager with no memory of the place -- except in her dreams. Her life takes a turn for the unexpected when, at a garden party for her fiance and herself, she spots a certain white rabbit and tumbles down a hole after him. Reunited with her friends the Mad Hatter (Johnny Depp), the Cheshire Cat and others, Alice learns it is her destiny to end the Red Queen's (Helena Bonham Carter) reign of terror.rottentomatoeslink: m/1221547-alice_in_wonderlandmovietitle: Alice in Wonderland","genres: Animation, Classics, Comedy, Kids & Family, Science Fiction & Fantasy",productioncompany: Film Chest,reviewtype: Rotten,topcritic: False,reviewcontent: This joyless adaptation of a beloved story comes up short in almost every way.,YES
13960,"movieinfo: When a no-nonsense LAPD detective (Robert De Niro) is forced to star in a reality-based television show with a frustrated actor-turned-LAPD-patrolman (Eddie Murphy), they find their lives turned upside down by a powerhouse producer (Rene Russo) and her very intrusive camera crew.rottentomatoeslink: m/1113375-showtimemovietitle: Showtime",productioncompany: Warner Bros. Pictures,reviewtype: Rotten,topcritic: False,genres: Comedy,"reviewcontent: Director Tom Dey demonstrated a knack for mixing action and idiosyncratic humor in his charming 2000 debut Shanghai Noon, but Showtime's uninspired send-up of TV cop show cliches mostly leaves him shooting blanks.",NO
10667,"movieinfo: On Sept. 11, 2012, Islamic militants attack the U.S. Consulate in Benghazi, Libya, killing Ambassador J. Christopher Stevens and Sean Smith, an officer for the Foreign Service. Stationed less than one mile away are members (James Badge Dale, John Krasinski, Max Martini) of the Annex Security Team, former soldiers assigned to protect operatives and diplomats in the city. As the assault rages on, the six men engage the combatants in a fierce firefight to save the lives of the remaining Americans.rottentomatoeslink: m/13_hours_the_secret_soldiers_of_benghazimovietitle: 13 Hours: The Secret Soldiers Of Benghazi",productioncompany: Paramount Pictures,"genres: Action & Adventure, Drama",reviewtype: Rotten,topcritic: False,"reviewcontent: With all that smoke swirling around our six heroes, all bearded, all muscle-bound, it's almost impossible to tell them apart. 'So which of them died?' was a typical comment as we left the cinema.",NO
13251,"movieinfo: U.S. Marine Sgt. Logan Thibault (Zac Efron) returns home from his third tour of duty in Iraq with the one thing he believes kept him alive: a photograph of a woman he doesn't even know. He learns the woman's name is Beth (Taylor Schilling) and goes to meet her, eventually taking a job at her family-run kennel. Though Beth is full of mistrust and leads a complicated life, a romance blooms, giving Logan hope that Beth could become more than just his good-luck charm.rottentomatoeslink: m/the_lucky_one_2012movietitle: The Lucky One",productioncompany: Warner Bros. Pictures,reviewtype: Fresh,topcritic: True,genres: Drama,reviewcontent: [Efron] sells it almost single-handedly through sheer force of scrumminess.,NO
2699,"movieinfo: A young girl when she first visited magical Underland, Alice Kingsleigh (Mia Wasikowska) is now a teenager with no memory of the place -- except in her dreams. Her life takes a turn for the unexpected when, at a garden party for her fiance and herself, she spots a certain white rabbit and tumbles down a hole after him. Reunited with her friends the Mad Hatter (Johnny Depp), the Cheshire Cat and others, Alice learns it is her destiny to end the Red Queen's (Helena Bonham Carter) reign of terror.rottentomatoeslink: m/1221547-alice_in_wonderlandmovietitle: Alice in Wonderland","genres: Animation, Classics, Comedy, Kids & Family, Science Fiction & Fantasy",productioncompany: Film Chest,reviewtype: Fresh,topcritic: False,reviewcontent: I found Tim Burton's Alice in Wonderland to be a treasure trove full of delight and near-amazement. The imagery is bold and ravishing. Alice in Wonderland is surreal and smashing.,YES
3973,"movieinfo: After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.rottentomatoeslink: m/10_cloverfield_lanemovietitle: 10 Cloverfield Lane",productioncompany: Bad Robot Productions,"genres: Drama, Mystery & Suspense, Science Fiction & Fantasy",reviewtype: Fresh,topcritic: False,"reviewcontent: In a promising debut, director Dan Trachtenberg abandons not only the original's structure, but also its genre. [Full review in Portuguese.]",NO
3263,"movieinfo: After 12 years of bucolic bliss, Mr. Fox (George Clooney) breaks a promise to his wife (Meryl Streep) and raids the farms of their human neighbors, Boggis, Bunce and Bean. Giving in to his animal instincts endangers not only his marriage but also the lives of his family and their animal friends. When the farmers force Mr. Fox and company deep underground, he has to resort to his natural craftiness to rise above the opposition.rottentomatoeslink: m/1197696-fantastic_mr_foxmovietitle: Fantastic Mr. Fox","genres: Action & Adventure, Animation, Comedy, Kids & Family",productioncompany: 20th Century Fox,reviewtype: Fresh,topcritic: False,reviewcontent: It's the perfect animation format for Wes Anderson and makes permeable Anderson's frequently airtight outlook.,YES
7379,"movieinfo: Earth's billions of inhabitants are unaware that the planet has an expiration date. With the warnings of an American scientist (Chiwetel Ejiofor), world leaders begin secret preparations for the survival of select members of society. When the global cataclysm finally occurs, failed writer Jackson Curtis (John Cusack) tries to lead his family to safety as the world starts falling apart.rottentomatoeslink: m/2012movietitle: 2012","genres: Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy",productioncompany: Sony Pictures/Columbia,reviewtype: Rotten,topcritic: True,"reviewcontent: As you might expect with director Roland Emmerich, the movie isn't a patch on the trailer.",NO
8748,"movieinfo: In 1979 Santa Barbara, Calif., Dorothea Fields is a determined single mother in her mid-50s who is raising her adolescent son, Jamie, at a moment brimming with cultural change and rebellion. Dorothea enlists the help of two younger women -- Abbie, a free-spirited punk artist living as a boarder in the Fields' home and Julie, a savvy and provocative teenage neighbor -- to help with Jamie's upbringing.rottentomatoeslink: m/20th_century_womenmovietitle: 20th Century Women",productioncompany: A24 Films,"genres: Comedy, Drama",reviewtype: Fresh,topcritic: True,"reviewcontent: When 20th Century Women concerns itself with the utterly human question of personal satisfaction, it's huggable: the kind of movie you wish more directors had the courage to grab for.",NO
14461,"movieinfo: While King Leonidas and his 300 Spartans have their date with destiny at Thermopylae, another battle against the Persians is brewing, this time at sea. Themistocles (Sullivan Stapleton), a Greek general, sees the threat posed by the God-King Xerxes of Persia. He knows that he must unite all of Greece if he is to stand any chance of repelling the Persian invasion. Even if he accomplishes his mission, Themistocles must still face Artemisia (Eva Green), the ruthless leader of the Persian armada.rottentomatoeslink: m/300_rise_of_an_empiremovietitle: 300: Rise of an Empire",productioncompany: Warner Bros. Pictures,"genres: Action & Adventure, Drama",reviewtype: Fresh,topcritic: True,"reviewcontent: ""The film works as a high-tech boy-fantasy successor to """"Conan the Barbarian.""""""",NO
9660,"movieinfo: It's the Roaring `20s and Prohibition hasn't stopped the flow of booze in an underground network of gangster-run speakeasies. The opportunity to gain power and money is there for any man with enough ambition and nerve, and Joe Coughlin, the son of the Boston Police superintendent, long ago turned his back on his strict upbringing for the spoils of being an outlaw. But even among criminals there are rules, and Joe breaks a big one: crossing a powerful mob boss by stealing his money and his moll.rottentomatoeslink: m/live_by_nightmovietitle: Live By Night",productioncompany: Warner Bros. Pictures,genres: Drama,reviewtype: Rotten,topcritic: False,"reviewcontent: ""Live By Night"" is missing bite. And without teeth, all the picture can do is slosh around without focus earning the unfortunate distinction of a directorial career worst for Affleck.",NO
10878,"movieinfo: Oskar (Thomas Horn), who lost his father (Tom Hanks) in the 9/11 attack on the World Trade Center, is convinced that his dad left a final message for him somewhere in the city. Upon finding a mysterious key in his father's closet, Oskar sets out in search of the lock it fits. Feeling disconnected from his grieving mother (Sandra Bullock) and driven by a tirelessly active mind, Oskar has a journey of discovery that takes him beyond his loss and leads to a greater understanding of the world.rottentomatoeslink: m/extremely_loud_and_incredibly_closemovietitle: Extremely Loud & Incredibly Close",productioncompany: Warner Bros. Pictures,genres: Drama,reviewtype: Fresh,topcritic: False,"reviewcontent: The youth's pain is palpable, and the film will stir viewers still wounded by that day and those who have suffered loss in general.",NO
10638,"movieinfo: On Sept. 11, 2012, Islamic militants attack the U.S. Consulate in Benghazi, Libya, killing Ambassador J. Christopher Stevens and Sean Smith, an officer for the Foreign Service. Stationed less than one mile away are members (James Badge Dale, John Krasinski, Max Martini) of the Annex Security Team, former soldiers assigned to protect operatives and diplomats in the city. As the assault rages on, the six men engage the combatants in a fierce firefight to save the lives of the remaining Americans.rottentomatoeslink: m/13_hours_the_secret_soldiers_of_benghazimovietitle: 13 Hours: The Secret Soldiers Of Benghazi",productioncompany: Paramount Pictures,"genres: Action & Adventure, Drama",reviewtype: Rotten,topcritic: False,"reviewcontent: Michael Bay propagandizes for a right-wing idea of 'true America,' seething with disdain for anyone who isn't a former elite soldier turned mercenary.",NO
9930,"movieinfo: Long-buried missives from the island reveal the stories of the Japanese troops who fought and died there during World War II. Among them are Saigo (Kazunari Ninomiya), a baker; Baron Nishi (Tsuyoshi Ihara), an Olympic champion; and Shimizu (Ryô Kase), an idealistic soldier. Though Lt. Gen. Tadamichi Kuribayashi (Ken Watanabe) knows he and his men have virtually no chance of survival, he uses his extraordinary military skills to hold off American troops as long as possible.rottentomatoeslink: m/letters_from_iwo_jimamovietitle: Letters from Iwo Jima",productioncompany: Warner Bros. Pictures,reviewtype: Fresh,topcritic: False,genres: Drama,"reviewcontent: As opposed to its more-ambitious companion piece, which soured the mix with themes about fabricating heroes, Letters is spare, simple and claustrophobic -- pure drama, and possibly Clint Eastwood's best film.",NO
558,"movieinfo: ""Nicolas Cage is Charlie Kaufman, a confused L.A. screenwriter overwhelmed by feelings of inadequacy, sexual frustration, self-loathing, and by the screenwriting ambitions of his freeloading twin brother Donald (Nicolas Cage). While struggling to adapt """"The Orchid Thiefrottentomatoeslink: m/1118700-adaptationmovietitle: Adaptation",productioncompany: Columbia Pictures,"genres: Comedy, Drama",reviewtype: Fresh,topcritic: False,reviewcontent: The irresistibly wicked humor of this film is firmly rooted in despair. We can all relate.,NO
12820,"movieinfo: Though London awaits the joyful arrival of Christmas, miserly Ebenezer Scrooge (Jim Carrey) thinks it's all humbug, berating his faithful clerk and cheerful nephew for their view. Later, Scrooge encounters the ghost of his late business partner, who warns that three spirits will visit him this night. The ghosts take Scrooge on a journey through his past, present and future in the hope of transforming his bitterness.rottentomatoeslink: m/10008502-christmas_carolmovietitle: Disney's A Christmas Carol","genres: Animation, Drama, Kids & Family, Science Fiction & Fantasy",productioncompany: Walt Disney Studios,reviewtype: Rotten,topcritic: False,"reviewcontent: Bob Hoskins looks just right as kind old Mr. Fezziwig, but that may be more of a testament to the actor's physiognomy than to the motion-capture process, which makes most of the film's cast look like they just sauntered out of Madame Tussauds.",YES
11684,"movieinfo: Single mother Josey Aimes (Charlize Theron) is part of a group of the first women to work at a local iron mine in Minnesota. Offended that they have to work with women, male workers at Eveleth Mines lash out at them and subject them to sexual harassment. Appalled by the constant stream of insults, sexually explicit language and physical abuse, Josey -- despite being cautioned against it by family and friends -- files a historic sexual harassment lawsuit.rottentomatoeslink: m/north_countrymovietitle: North Country",productioncompany: Warner Bros. Pictures,genres: Drama,reviewtype: Rotten,topcritic: False,reviewcontent: Could become the classic text for a filmmaking class called 'Crafting the Message Picture 101.',NO
1407,"movieinfo: ""White Oleander"" chronicles the life of Astrid (Alison Lohman), a young teenager who journeys through a series of foster homes after her mother (Michelle Pfeiffer) goes to prison for committing a crime of passion. Set adrift in the world, Astrid struggles to become her own person while coming to terms with the challenges of living life on her own.rottentomatoeslink: m/white_oleandermovietitle: White Oleander",productioncompany: Warner Bros. Pictures,genres: Drama,reviewtype: Fresh,topcritic: False,"reviewcontent: Like the eponymous flower, Pfeiffer's Ingrid is beautiful and deadly, generating enough poison to be remembered at Oscar time.",NO
8087,"movieinfo: In 1928 Los Angeles, single mother Christine Collins (Angelina Jolie) arrives home to find her son, Walter, gone. Five months later her prayers are answered when Walter is found in Illinois. But to Christine's horror, the boy who steps off the train is not her son. Authorities vehemently dispute Christine's claim, and her one ally is a clergyman (John Malkovich) who sees the case as his chance to expose corruption in the Los Angeles Police Department and government.rottentomatoeslink: m/1191742_changelingmovietitle: Changeling",productioncompany: Universal Pictures,"genres: Drama, Mystery & Suspense",reviewtype: Fresh,topcritic: False,reviewcontent: Its story is not easily forgotten.,NO
5663,"movieinfo: CIA agent Roger Ferris (Leonardo DiCaprio) hatches a bold but dangerous plan to capture terrorist Al-Saleem. With the help of Ed Hoffman (Russell Crowe) who is a master of subterfuge, Ferris creates a fake terrorist organization to prompt Al-Saleem out of hiding. At the same time, Ferris must keep his plan secret from Hani (Mark Strong), the head of Jordanian intelligence, because Ferris will lose his own life if Hani finds out.rottentomatoeslink: m/10009225-body_of_liesmovietitle: Body of Lies",productioncompany: Warner Bros. Pictures,"genres: Drama, Mystery & Suspense",reviewtype: Fresh,topcritic: False,"reviewcontent: Body of Lies isn't half bad, sprinkling in well-shot action and some moments of genuine suspense.",NO
